"cluster_membership","name","degrees","color","betweeness","closeness","eigenvectors"
9,"RAB3IL1",8,"#FFB400",62.0143925871753,0.00254452926208651,0.207781140485734
13,"APBB1IP",21,"#F0FF00",207.264860819195,0.003003003003003,0.292499521752241
37,"PSIP1",0,"#00D2FF",0,NA,0
6,"EIF2AK2",3,"#FF7100",0,0.00185528756957328,0.00220818215545174
1,"CSRP2",10,"#FF0000",12.5029644733381,0.00289017341040462,0.145981540139452
1,"EIF4EBP3",6,"#FF0000",5.14540147841323,0.00251256281407035,0.0493125677550415
13,"LYN",24,"#F0FF00",716.781301256384,0.00333333333333333,0.222303562145111
1,"WDR76",7,"#FF0000",0.166666666666667,0.00252525252525253,0.0904022686054577
13,"SAMD9L",12,"#F0FF00",147.753338251169,0.00261096605744125,0.14021184598371
38,"ASPH",0,"#00BBFF",0,NA,0
1,"RBL1",6,"#FF0000",0,0.00251889168765743,0.0775301308998647
1,"SLC43A3",21,"#FF0000",343.050184308929,0.00332225913621262,0.226106502703303
1,"HN1",8,"#FF0000",25.0554144344435,0.00273972602739726,0.118217676003413
1,"TTC39A",26,"#FF0000",165.062583396744,0.00321543408360129,0.334905041246653
1,"MTL5",12,"#FF0000",16.9948958918383,0.00289855072463768,0.137592202610915
39,"NES",0,"#00A5FF",0,NA,0
9,"APOD",3,"#FFB400",0,0.00253807106598985,0.14765469618186
13,"RIN3",18,"#F0FF00",408.515656364899,0.00323624595469256,0.180943021921401
1,"ALCAM",5,"#FF0000",2.11472157623661,0.00259067357512953,0.0812685203782371
13,"C1orf38",22,"#F0FF00",329.688507127862,0.00315457413249211,0.214377694316771
9,"PLCD3",1,"#FFB400",0,0.00178571428571429,0.00585718532858926
40,"BSPRY",0,"#008EFF",0,NA,0
1,"NTN4",12,"#FF0000",35.656130614103,0.00284090909090909,0.189649043677368
9,"IL1R1",16,"#FFB400",144.287592410409,0.00289017341040462,0.629440549704753
13,"EMP3",14,"#F0FF00",265.12516754288,0.00275482093663912,0.208793760762337
1,"ZKSCAN1",7,"#FF0000",0.993050910442215,0.00258397932816537,0.0808288114421049
1,"FMNL2",25,"#FF0000",476.42914679143,0.00334448160535117,0.242615783962447
2,"OGFRL1",1,"#FF1700",0,1,0
13,"IRF5",4,"#F0FF00",0,0.00216450216450216,0.0412677198716915
41,"IGSF3",0,"#0078FF",0,NA,0
1,"DBP",1,"#FF0000",0,0.00200803212851406,0.00791118862353543
9,"CNN2",2,"#FFB400",0,0.00202020202020202,0.0312700377481052
42,"CAMK2D",0,"#0061FF",0,NA,0
1,"SIGIRR",16,"#FF0000",173.189593772463,0.00273972602739726,0.151974564872908
1,"AKAP9",12,"#FF0000",214.109880513898,0.00298507462686567,0.165084660029015
43,"ICA1",0,"#004BFF",0,NA,0
9,"FGD5",17,"#FFB400",13.2844210400724,0.00293255131964809,0.693465487704019
44,"DSG2",0,"#0034FF",0,NA,0
9,"E2F1",20,"#FFB400",304.728529910719,0.00319488817891374,0.462520767980568
45,"QSOX1",1,"#001EFF",0,1,0
