"cluster_membership","name","degrees","color"
56,"CDK18",0,"#DA00FF"
57,"SLC43A2",0,"#F000FF"
58,"GK",0,"#FF00F7"
13,"ICAM2",4,"#F0FF00"
1,"YPEL2",11,"#FF0000"
59,"CBR1",0,"#FF00E1"
1,"MEX3A",14,"#FF0000"
60,"ZNRF3",0,"#FF00CA"
9,"PTPRM",19,"#FFB400"
13,"C1orf162",18,"#F0FF00"
9,"GAS6",4,"#FFB400"
13,"C1QB",18,"#F0FF00"
50,"PVRL4",1,"#5300FF"
9,"CTSK",23,"#FFB400"
9,"MRVI1",16,"#FFB400"
9,"LEF1",9,"#FFB400"
1,"PLCD4",1,"#FF0000"
61,"ZNF37B",0,"#FF00B4"
1,"MEGF9",12,"#FF0000"
9,"GINS2",6,"#FFB400"
62,"FAM13A",0,"#FF009D"
63,"CPT1A",0,"#FF0087"
64,"SNX10",0,"#FF0070"
65,"TRIM45",0,"#FF005A"
1,"ELP2",10,"#FF0000"
13,"ALOX5",11,"#F0FF00"
66,"AMN1",0,"#FF0043"
9,"CERCAM",13,"#FFB400"
1,"SEMA3C",23,"#FF0000"
67,"KRT8",0,"#FF002D"
68,"TP53INP2",0,"#FF0016"
9,"JAM3",26,"#FFB400"
1,"ZNF680",5,"#FF0000"
1,"PBX1",8,"#FF0000"
